,Date,Rounded_Time,Return,Positive,Negative
2345,05/17/2019,9:30,0.0002833153511163644,1,0
2351,05/16/2019,14:00,0.0015741973632366069,1,0
2356,05/16/2019,11:30,0.000761965492122485,1,0
2366,05/15/2019,14:00,0.0003676477066054673,0,1
2367,05/15/2019,13:30,0.001927991875688484,1,0
2368,05/15/2019,13:00,0.00011228818775066429,1,0
2377,05/14/2019,16:00,-5.6447544370286096e-05,0,1
2378,05/14/2019,15:30,-0.0039822944629248624,1,0
2387,05/14/2019,11:00,0.002254530269128807,0,1
2388,05/14/2019,10:30,-0.00031030385343111533,1,0
2390,05/14/2019,9:30,0.0017678646572854007,1,0
2407,05/10/2019,16:00,-0.00023943825817251962,1,0
2414,05/10/2019,12:30,0.0017312805283209443,1,0
2438,05/08/2019,15:30,-0.00567903957899496,0,1
2440,05/08/2019,14:30,0.00012104297559201171,1,0
2448,05/08/2019,10:30,0.0033227053598388068,0,1
2457,05/07/2019,13:30,0.0006223521984072278,1,0
2465,05/07/2019,9:30,-0.0037109239579180553,0,1
2469,05/06/2019,15:00,4.77052090772645e-05,1,0
2475,05/06/2019,12:00,-0.0005142075660673484,1,0
2485,05/03/2019,14:30,-0.00029201640932186024,0,1
2490,05/03/2019,12:00,0.001165836041493229,1,0
2492,05/03/2019,11:00,-0.00027231261656446293,0,1
2494,05/03/2019,10:00,-0.0008964315469306428,0,1
2498,05/02/2019,15:30,0.0003736658202670995,0,1
2506,05/02/2019,11:30,-0.0018232486388267688,1,0
2507,05/02/2019,11:00,-0.0038865106901555535,0,1
2529,04/30/2019,15:00,-0.00027190630276319183,1,0
2534,04/30/2019,12:30,3.744610739619958e-05,1,0
2561,04/26/2019,14:00,0.0006756226733903858,0,1
2562,04/26/2019,13:30,-4.0959965053488645e-05,0,1
2564,04/26/2019,12:30,-6.825612430638728e-05,0,1
2578,04/25/2019,13:00,0.0003310597183459052,0,1
2581,04/25/2019,11:30,0.0013687807531308493,0,1
2585,04/25/2019,9:30,-0.0016230358426794211,1,0
2590,04/24/2019,14:30,0.0009961519341254998,1,0
2596,04/24/2019,11:30,-0.0007432333719785689,1,0
2603,04/23/2019,15:30,0.00019091451519681613,0,1
2608,04/23/2019,13:00,-8.18244116764788e-05,1,0
2609,04/23/2019,12:30,-9.545335236005315e-05,1,0
2613,04/23/2019,10:30,0.0003184446232884497,0,1
2618,04/22/2019,15:30,0.0009495337333440546,1,0
2620,04/22/2019,14:30,-0.00014797251867548766,1,0
2621,04/22/2019,14:00,-0.00010322367547388467,0,1
2622,04/22/2019,13:30,0.0002684055693062959,1,0
2627,04/22/2019,11:00,0.00026846746542119604,1,0
2633,04/18/2019,15:30,-0.000904938513897946,0,1
2641,04/18/2019,11:30,0.002155318174662746,1,0
2667,04/16/2019,13:30,-0.00034729684773093794,1,0
2668,04/16/2019,13:00,-0.0005086924651358515,1,0
2686,04/15/2019,11:30,-0.0007722487300370062,0,1
2688,04/15/2019,10:30,-0.0004930822047235495,1,0
2707,04/11/2019,16:00,-2.423524809191946e-05,0,1
2718,04/11/2019,10:30,5.879270902919842e-05,0,1
2719,04/11/2019,10:00,0.00022482675463919577,1,0
2725,04/10/2019,14:30,0.0010158849907293543,1,0
2726,04/10/2019,14:00,-0.0010782569341509785,0,1
2735,04/10/2019,9:30,0.0008672666382310013,0,1
2741,04/09/2019,14:00,-0.0006079080335537057,0,1
2742,04/09/2019,13:30,-0.00031596728786187356,0,1
2744,04/09/2019,12:30,-0.000856352925188375,1,0
2747,04/09/2019,11:00,0.00021862512645043353,0,1
2761,04/08/2019,11:30,0.0001316185972051187,0,1
2768,04/05/2019,15:30,0.00040797981411522244,0,1
2771,04/05/2019,14:00,-0.0008788836667781297,0,1
2774,04/05/2019,12:30,-0.0003218321621156761,1,0
2777,04/05/2019,11:00,0.00015916679675864742,1,0
2789,04/04/2019,12:30,0.00032393289647636436,1,0
2794,04/04/2019,10:00,-0.0020507551530428714,1,0
2805,04/03/2019,12:00,-0.000312120689199169,1,0
2836,04/01/2019,11:30,-0.00012243777115550358,0,1
2840,04/01/2019,9:30,0.0015679454887456146,0,1
2853,03/29/2019,10:30,-0.002388785527785764,0,1
2857,03/28/2019,16:00,2.486320795913599e-05,1,0
2867,03/28/2019,11:00,-0.0040908305691917946,1,0
2869,03/28/2019,10:00,0.0007351857740616197,1,0
2873,03/27/2019,15:30,-0.0009655519627402853,1,0
2875,03/27/2019,14:30,-0.0007555023737166877,0,1
2876,03/27/2019,14:00,0.0004560824733168545,1,0
2877,03/27/2019,13:30,7.484669795942978e-05,1,0
2887,03/26/2019,15:30,0.00352592378653771,1,0
2895,03/26/2019,11:30,-0.0016658813704664155,1,0
2899,03/26/2019,9:30,0.005318859696902933,1,0
2907,03/25/2019,13:00,-0.0009688243128307406,1,0
2909,03/25/2019,12:00,0.0012002530545256462,1,0
2913,03/25/2019,10:00,0.001225898877086351,1,0
2918,03/22/2019,15:00,-0.003092915929716611,1,0
2924,03/22/2019,12:00,0.0012826361352562543,1,0
2925,03/22/2019,11:30,-0.005517726139416368,1,0
2926,03/22/2019,11:00,-0.0008327914764034716,0,1
2931,03/21/2019,16:00,-0.0001821276720015419,1,0
2933,03/21/2019,15:00,-0.00022762251880248385,1,0
2940,03/21/2019,11:30,0.0032040949852900624,0,1
2946,03/20/2019,16:00,3.894942771331955e-05,0,1
2947,03/20/2019,15:30,-0.0036119877967353275,0,1
2948,03/20/2019,15:00,-0.00204760306469165,1,0
2961,03/19/2019,16:00,-0.0003176821934074425,0,1
2971,03/19/2019,11:00,0.0016013377228594194,1,0
2972,03/19/2019,10:30,-0.0010069182465688442,1,0
2986,03/18/2019,11:00,-0.0029579390222229662,1,0
2988,03/18/2019,10:00,-6.70715671526878e-05,0,1
2991,03/15/2019,16:00,-1.7714760470965984e-05,1,0
2992,03/15/2019,15:30,-0.0005065452483323796,1,0
2998,03/15/2019,12:30,0.000290001664237316,1,0
3009,03/14/2019,14:30,-0.00010682391156624504,0,1
3010,03/14/2019,14:00,0.00044160803019721584,1,0
3016,03/14/2019,11:00,0.0001352664573293083,1,0
3019,03/14/2019,9:30,8.895198555602946e-05,0,1
3026,03/13/2019,13:30,0.0003230106035907454,1,0
3062,03/11/2019,10:00,0.001487457319859331,0,1
3077,03/08/2019,10:00,0.0003152180712033825,1,0
3094,03/06/2019,16:00,-3.247344844847788e-05,0,1
3099,03/06/2019,13:30,0.002253312871273394,0,1
3103,03/06/2019,11:30,-0.0015772078773848008,0,1
3109,03/05/2019,16:00,3.5847433327518274e-05,1,0
3112,03/05/2019,14:30,0.0007766212357820379,1,0
3114,03/05/2019,13:30,0.0005628339734622401,0,1
3115,03/05/2019,13:00,-0.0012757754932364307,0,1
3128,03/04/2019,14:00,0.0014967993907060162,1,0
3129,03/04/2019,13:30,0.0018480571901244858,1,0
3136,03/04/2019,10:00,-0.0003375455496463786,0,1
3141,03/01/2019,15:00,-0.0002819671330662743,1,0
3182,02/27/2019,9:30,4.3048400757861316e-05,1,0
3206,02/25/2019,12:30,-0.001133989123966117,1,0
3226,02/22/2019,10:00,-0.00023339192174987033,0,1
3233,02/21/2019,14:00,-0.0022845621885272394,0,1
3241,02/21/2019,10:00,-0.0012803798886542594,0,1
3246,02/20/2019,15:00,-0.00023699405471333534,0,1
3251,02/20/2019,12:30,0.00018362993219511736,1,0
3270,02/19/2019,10:30,-0.0011962068702207063,1,0
3271,02/19/2019,10:00,0.0008105056377587516,1,0
3298,02/14/2019,11:30,0.00203456644237221,0,1
3299,02/14/2019,11:00,-0.0008099500243945457,0,1
3307,02/13/2019,14:30,0.0010886961762510694,1,0
3330,02/12/2019,10:30,0.0020980996873447566,1,0
3334,02/11/2019,16:00,3.3213334788229076e-05,0,1
3339,02/11/2019,13:30,-7.385224381373234e-06,1,0
3346,02/11/2019,10:00,-0.0008782709698200719,1,0
3379,02/06/2019,16:00,-0.00011347974673281414,1,0
3394,02/05/2019,15:30,1.0959724837888984e-05,0,1
3403,02/05/2019,11:00,-0.002055213540339551,0,1
3412,02/04/2019,14:00,0.00011769638759240308,0,1
3427,02/01/2019,14:00,-0.0019454827307203715,0,1
3429,02/01/2019,13:00,-0.00032131599488316454,0,1
3430,02/01/2019,12:30,5.539173962887389e-05,0,1
3436,02/01/2019,9:30,-0.0007811155541137538,1,0
