Time,Open,High,Low,Last,Change,Volume
12/5/2019 14:00,3113.28,3115.96,3112.52,3115.8,2.5,0
12/5/2019 13:30,3110.98,3114.54,3110.59,3113.3,2.33,0
12/5/2019 13:00,3110.2,3111.53,3109.56,3110.97,0.76,0
12/5/2019 12:30,3110.19,3110.28,3108.4,3110.21,0.03,0
12/5/2019 12:00,3110.49,3112.23,3109.05,3110.18,-0.33,0
12/5/2019 11:30,3112.23,3112.57,3108.37,3110.51,-1.72,0
12/5/2019 11:00,3111.42,3113.8,3109.72,3112.23,0.87,0
12/5/2019 10:30,3109.79,3112.17,3108.19,3111.36,1.58,0
12/5/2019 10:00,3111.73,3111.84,3103.76,3109.78,-2.31,0
12/5/2019 9:30,3119.21,3119.43,3111.37,3112.09,-0.67,0
12/4/2019 17:00,3112.76,3112.76,3112.76,3112.76,0,0
12/4/2019 16:00,3112.89,3112.97,3112.75,3112.76,0.03,0
12/4/2019 15:30,3115.4,3117.47,3112.24,3112.73,-2.68,0
12/4/2019 15:00,3118.54,3118.9,3115.41,3115.41,-3.14,0
12/4/2019 14:30,3118.14,3119.38,3117.4,3118.55,0.41,0
12/4/2019 14:00,3115.15,3118.15,3115.08,3118.14,2.97,0
12/4/2019 13:30,3114.97,3115.17,3113.48,3115.17,0.19,0
12/4/2019 13:00,3115.16,3115.46,3112.99,3114.98,-0.19,0
12/4/2019 12:30,3112.85,3115.32,3112.15,3115.17,2.31,0
12/4/2019 12:00,3114.48,3115.16,3111.82,3112.86,-1.61,0
12/4/2019 11:30,3114.97,3118.02,3114.32,3114.47,-0.49,0
12/4/2019 11:00,3116.4,3117.12,3113.1,3114.96,-1.36,0
12/4/2019 10:30,3112.99,3117.03,3112.43,3116.32,3.43,0
12/4/2019 10:00,3115.91,3117.99,3112.89,3112.89,-2.96,0
12/4/2019 9:30,3103.5,3116.94,3102.53,3115.85,22.65,0
12/3/2019 16:30,3093.2,3093.2,3093.2,3093.2,0,0
12/3/2019 16:00,3093.33,3093.33,3093.2,3093.2,0.03,0
12/3/2019 15:30,3094.21,3094.97,3089.15,3093.17,-1.06,0
12/3/2019 15:00,3085.74,3094.6,3084.32,3094.23,8.36,0
12/3/2019 14:30,3083.81,3086.83,3082.29,3085.87,2.05,0
12/3/2019 14:00,3086.98,3088.39,3082.74,3083.82,-3.16,0
12/3/2019 13:30,3087.42,3090.09,3086.64,3086.98,-0.43,0
12/3/2019 13:00,3083.21,3087.7,3083.09,3087.41,4.21,0
12/3/2019 12:30,3082.61,3083.37,3080.95,3083.2,0.6,0
12/3/2019 12:00,3080.88,3083.77,3078.43,3082.6,1.71,0
12/3/2019 11:30,3078.76,3082.78,3076.79,3080.89,2.05,0
12/3/2019 11:00,3078.79,3082.82,3075.02,3078.84,-0.14,0
12/3/2019 10:30,3078.74,3084.03,3075.71,3078.98,0.1,0
12/3/2019 10:00,3080.17,3083.39,3073,3078.88,-1.36,0
12/3/2019 9:30,3084.83,3085.71,3070.33,3080.24,-33.63,0
12/2/2019 17:00,3113.87,3113.87,3113.87,3113.87,0,0
12/2/2019 16:00,3114.49,3114.49,3113.87,3113.87,-1.28,0
12/2/2019 15:30,3116.64,3121.16,3113.72,3115.15,-1.49,0
12/2/2019 15:00,3122.76,3123.01,3116.3,3116.64,-6.12,0
12/2/2019 14:30,3122.89,3124.53,3121.9,3122.76,-0.12,0
12/2/2019 14:00,3119.28,3123.29,3118.61,3122.88,3.61,0
12/2/2019 13:30,3119.27,3120.47,3117.04,3119.27,0.02,0
12/2/2019 13:00,3113.52,3119.82,3113.34,3119.25,5.7,0
12/2/2019 12:30,3116.26,3116.75,3113.55,3113.55,-2.69,0
