trade_time,open,close,high,low,volume,money
2018-11-27 11:00:00,2591.76,2582.42,2592.54,2581.66,1124857200.0,9413021696.0
2018-11-27 11:30:00,2582.44,2586.74,2587.57,2579.78,795972400.0,6921723904.0
2018-11-27 13:30:00,2587.32,2585.75,2588.74,2584.44,968237600.0,8101912576.0
2018-11-27 14:00:00,2586.01,2575.48,2586.01,2574.29,1243647200.0,9983959040.0
2018-11-27 14:30:00,2576.06,2568.36,2576.1,2566.17,1381895200.0,11657347072.0
2018-11-27 15:00:00,2567.52,2574.68,2575.3,2566.91,1713712800.0,13875576832.0
2018-11-28 10:00:00,2575.45,2564.37,2582.67,2564.23,3214119600.0,25617655808.0
2018-11-28 10:30:00,2564.29,2571.03,2575.85,2561.59,2032003200.0,15852320768.0
2018-11-28 11:00:00,2571.37,2592.8,2592.88,2570.81,1971985200.0,16608190464.0
2018-11-28 11:30:00,2593.03,2596.84,2597.66,2589.78,1502958400.0,13134913536.0
2018-11-28 13:30:00,2598.16,2593.43,2598.62,2591.11,1180062400.0,9908936704.0
2018-11-28 14:00:00,2593.6,2594.91,2596.57,2591.21,1143132800.0,9507627008.0
2018-11-28 14:30:00,2595.07,2600.67,2600.79,2592.5,1498016800.0,11779743744.0
2018-11-28 15:00:00,2600.13,2601.74,2601.74,2596.97,2054068800.0,17169104896.0
2018-11-29 10:00:00,2613.78,2608.78,2617.55,2605.83,4177647200.0,35574710000.0
2018-11-29 10:30:00,2608.61,2606.41,2614.22,2606.41,1935286800.0,16092010000.0
2018-11-29 11:00:00,2606.5,2605.29,2606.5,2600.03,1353688400.0,11271600000.0
2018-11-29 11:30:00,2605.66,2608.99,2609.31,2604.31,1089729600.0,9193510000.0
2018-11-29 13:30:00,2608.94,2595.12,2610.44,2593.44,1344708800.0,11223430000.0
2018-11-29 14:00:00,2594.57,2592.05,2595.82,2589.18,1349268800.0,10887800000.0
2018-11-29 14:30:00,2592.25,2582.1,2592.33,2575.71,1860430400.0,14761240000.0
2018-11-29 15:00:00,2582.48,2567.44,2582.53,2567.44,2606110400.0,20468100000.0
2018-11-30 10:00:00,2564.56,2575.29,2579.23,2564.41,3024608400.0,23901925376.0
2018-11-30 10:30:00,2575.44,2570.17,2575.62,2568.23,1673611600.0,13983019008.0
2018-11-30 11:00:00,2569.74,2575.31,2579.28,2565.2,1484519600.0,12163432448.0
2018-11-30 11:30:00,2575.53,2573.41,2580.99,2573.15,959767600.0,8159313920.0
2018-11-30 13:30:00,2573.24,2555.53,2574.62,2555.4,1626273600.0,12152750080.0
2018-11-30 14:00:00,2555.56,2568.79,2572.95,2555.46,1408116000.0,10722295808.0
2018-11-30 14:30:00,2569.35,2580.62,2583.4,2568.66,1380917600.0,11651719168.0
2018-11-30 15:00:00,2581.52,2588.19,2590.16,2581.52,2375088000.0,19485368320.0
2018-12-03 10:00:00,2647.13,2640.29,2654.97,2629.23,6722893600.0,61125558272.0
2018-12-03 10:30:00,2639.77,2656.76,2660.05,2639.77,3289066400.0,30564622336.0
2018-12-03 11:00:00,2656.79,2656.83,2660.75,2652.43,1914128000.0,17585332224.0
2018-12-03 11:30:00,2656.2,2663.45,2663.59,2655.19,1565515200.0,14199332864.0
2018-12-03 13:30:00,2663.66,2658.1,2665.14,2655.09,1881288000.0,16627834880.0
2018-12-03 14:00:00,2657.89,2658.95,2658.95,2654.91,1463217600.0,13021921280.0
2018-12-03 14:30:00,2658.93,2653.92,2660.2,2653.19,1509785600.0,13527220224.0
2018-12-03 15:00:00,2653.98,2654.8,2654.8,2648.28,2402001600.0,21179957248.0
